crash_type,Collision Type,Intersection_accident?,Crash_Type_Key
NO INJURY / DRIVE AWAY,TURNING,YES,1
NO INJURY / DRIVE AWAY,REAR END,YES,2
INJURY AND / OR TOW DUE TO CRASH,ANGLE,YES,3
INJURY AND / OR TOW DUE TO CRASH,FIXED OBJECT,NO,4
NO INJURY / DRIVE AWAY,REAR TO FRONT,YES,5
NO INJURY / DRIVE AWAY,ANGLE,YES,6
NO INJURY / DRIVE AWAY,FIXED OBJECT,YES,7
NO INJURY / DRIVE AWAY,SIDESWIPE SAME DIRECTION,YES,8
INJURY AND / OR TOW DUE TO CRASH,SIDESWIPE OPPOSITE DIRECTION,NO,9
INJURY AND / OR TOW DUE TO CRASH,PEDALCYCLIST,NO,10
INJURY AND / OR TOW DUE TO CRASH,TURNING,YES,11
INJURY AND / OR TOW DUE TO CRASH,REAR END,YES,12
NO INJURY / DRIVE AWAY,PEDESTRIAN,YES,13
INJURY AND / OR TOW DUE TO CRASH,HEAD ON,YES,14
NO INJURY / DRIVE AWAY,SIDESWIPE SAME DIRECTION,NO,15
NO INJURY / DRIVE AWAY,PARKED MOTOR VEHICLE,YES,16
INJURY AND / OR TOW DUE TO CRASH,TURNING,NO,17
INJURY AND / OR TOW DUE TO CRASH,PEDESTRIAN,YES,18
INJURY AND / OR TOW DUE TO CRASH,PEDALCYCLIST,YES,19
NO INJURY / DRIVE AWAY,PEDALCYCLIST,YES,20
INJURY AND / OR TOW DUE TO CRASH,SIDESWIPE SAME DIRECTION,YES,21
INJURY AND / OR TOW DUE TO CRASH,REAR END,NO,22
INJURY AND / OR TOW DUE TO CRASH,FIXED OBJECT,YES,23
INJURY AND / OR TOW DUE TO CRASH,SIDESWIPE SAME DIRECTION,NO,24
INJURY AND / OR TOW DUE TO CRASH,PARKED MOTOR VEHICLE,YES,25
NO INJURY / DRIVE AWAY,TURNING,NO,26
INJURY AND / OR TOW DUE TO CRASH,OTHER NONCOLLISION,YES,27
NO INJURY / DRIVE AWAY,REAR END,NO,28
NO INJURY / DRIVE AWAY,HEAD ON,YES,29
INJURY AND / OR TOW DUE TO CRASH,OVERTURNED,YES,30
NO INJURY / DRIVE AWAY,ANGLE,NO,31
INJURY AND / OR TOW DUE TO CRASH,SIDESWIPE OPPOSITE DIRECTION,YES,32
INJURY AND / OR TOW DUE TO CRASH,ANGLE,NO,33
INJURY AND / OR TOW DUE TO CRASH,OTHER OBJECT,YES,34
NO INJURY / DRIVE AWAY,OTHER OBJECT,NO,35
NO INJURY / DRIVE AWAY,SIDESWIPE OPPOSITE DIRECTION,YES,36
NO INJURY / DRIVE AWAY,PARKED MOTOR VEHICLE,NO,37
NO INJURY / DRIVE AWAY,PEDALCYCLIST,NO,38
INJURY AND / OR TOW DUE TO CRASH,REAR TO SIDE,YES,39
NO INJURY / DRIVE AWAY,OTHER NONCOLLISION,YES,40
INJURY AND / OR TOW DUE TO CRASH,HEAD ON,NO,41
NO INJURY / DRIVE AWAY,REAR TO SIDE,YES,42
NO INJURY / DRIVE AWAY,OTHER OBJECT,YES,43
INJURY AND / OR TOW DUE TO CRASH,REAR TO FRONT,YES,44
NO INJURY / DRIVE AWAY,FIXED OBJECT,NO,45
INJURY AND / OR TOW DUE TO CRASH,PEDESTRIAN,NO,46
NO INJURY / DRIVE AWAY,PEDESTRIAN,NO,47
NO INJURY / DRIVE AWAY,REAR TO FRONT,NO,48
INJURY AND / OR TOW DUE TO CRASH,PARKED MOTOR VEHICLE,NO,49
INJURY AND / OR TOW DUE TO CRASH,OTHER NONCOLLISION,NO,50
INJURY AND / OR TOW DUE TO CRASH,OTHER OBJECT,NO,51
NO INJURY / DRIVE AWAY,ANIMAL,YES,52
NO INJURY / DRIVE AWAY,HEAD ON,NO,53
NO INJURY / DRIVE AWAY,ANIMAL,NO,54
NO INJURY / DRIVE AWAY,OTHER NONCOLLISION,NO,55
NO INJURY / DRIVE AWAY,SIDESWIPE OPPOSITE DIRECTION,NO,56
INJURY AND / OR TOW DUE TO CRASH,REAR TO SIDE,NO,57
NO INJURY / DRIVE AWAY,TRAIN,YES,58
NO INJURY / DRIVE AWAY,REAR TO REAR,YES,59
NO INJURY / DRIVE AWAY,REAR TO SIDE,NO,60
INJURY AND / OR TOW DUE TO CRASH,REAR TO FRONT,NO,61
INJURY AND / OR TOW DUE TO CRASH,REAR TO REAR,NO,62
NO INJURY / DRIVE AWAY,REAR TO REAR,NO,63
NO INJURY / DRIVE AWAY,OVERTURNED,YES,64
INJURY AND / OR TOW DUE TO CRASH,ANIMAL,YES,65
INJURY AND / OR TOW DUE TO CRASH,TRAIN,YES,66
INJURY AND / OR TOW DUE TO CRASH,OVERTURNED,NO,67
INJURY AND / OR TOW DUE TO CRASH,TRAIN,NO,68
INJURY AND / OR TOW DUE TO CRASH,REAR TO REAR,YES,69
