roadway_surface_cond,Road_alignment,trafficway_type,road_defect,Road_Key
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,1
DRY,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,2
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,3
UNKNOWN,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,4
WET,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,5
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,6
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,7
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,8
WET,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,9
DRY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,10
DRY,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,11
SNOW OR SLUSH,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,12
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,13
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",NO DEFECTS,14
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,15
DRY,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,16
UNKNOWN,STRAIGHT AND LEVEL,OTHER,UNKNOWN,17
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,18
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,19
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,20
WET,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,21
WET,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,22
DRY,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,23
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,OTHER,24
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,25
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,26
WET,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,27
WET,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,28
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,29
